Company,Stage,Position,Location,Date of Application,Posting URL,Notes,Rapporterat,First Response,Second Response,Third Response
Global Electrolux Talent Program,Rejected,Junior Reporting Analyst SAP,Stockholm,"May 24, 2023",https://career.electroluxgroup.com/global/en/job/req43614/Global-Electrolux-Talent-Program-Junior-Reporting-Analyst-SAP,,No,,,
Truecaller,Rejected,Data Analyst,Stockholm,"May 24, 2023",Indeed,,No,Gick vidare med andra kandidater,,
TalentKompass Deutschland,Rejected,Junior Data Analyst,Remote,"May 24, 2023",Indeed,,No,"Candidate evaluation survey, Inväntar respons",Gick vidare med andra kandidater,
Tink,Rejected,Data Scientist,Stockholm,"May 24, 2023",https://jobs.tink.se/jobs/2818057-data-scientist,,No,Gick vidare med andra kandidater,,
Lynx Asset Management AB,Applied,Junior Data Scientist,Stockholm,"May 24, 2023",Indeed,,Yes,,,
Ada Digital - Funmed,Rejected,Data Analyst,Stockholm,"May 24, 2023",https://www.adadigital.se/lediga-jobb/data-och-analytics/data-analyst-till-funmed-i-stockholm/?src=linkedin_api#ansok,,No,,,
SteadyMD,Applied,Data Scientist,Stockholm,"May 24, 2023",https://www.linkedin.com/jobs/view/3611332086," ",Yes,,,
Ten10,Applied,Data Scientist,Stockholm,"May 24, 2023",https://karriar.ten10.se/jobs/2405934-data-scientist,,Yes,,,
Airmee,Rejected,Data Scientist,Stockholm,"May 24, 2023",https://careers.airmee.com/jobs/2847276-data-scientist?promotion=674777-linkedin-premium-job-posting,,No,Skrivit logik och personlighetstest. Inväntar respons,De kommer återkoppla inom 1-2 veckor,
Webstep,Rejected,Data Scientist,Stockholm,"May 24, 2023",https://karriar.webstep.se/jobs/1106248-data-scientist,,No,,,
Dagab,Rejected,Junior Analyst,Stockholm,"May 24, 2023",https://jobb.bravura.se/lediga-jobb/junior-analytiker-space-planner-till-dagab-4629301/?loggedin=1,,No,,,
Haptic Recruit,Applied,Data Scientist,Stockholm,"May 24, 2023",https://www.linkedin.com/jobs/view/3606830855,,Yes,,,
Random Forest AB,Applied,Junior BI-konsult,Stockholm,"May 26, 2023",https://demando.se/app/candidate/position/?cId=12404&mId=3824,,Yes,,,
Signific,Applied,Data Scientist,Stockholm,"May 26, 2023",https://demando.se/app/candidate/company/?cId=19219,,Yes,,,
Moleculent,Applied,Junior Data Analyst/Scientist,Stockholm,"May 26, 2023",,,Yes,,,
